,id,direction
0,24_25DHVITD3tm,1.0
1,25HVITD3t,1.0
2,COAtl,0.0
3,EX_5adtststerone_e,0.0
4,EX_5adtststerones_e,0.0
5,EX_5fthf_e,0.0
6,EX_5htrp_e,0.0
7,EX_5mthf_e,0.0
8,EX_5thf_e,0.0
9,EX_6dhf_e,0.0
10,24_25VITD3Hm,1.0
11,24NPHte,0.0
12,10FTHF7GLUtl,1.0
13,10FTHFtm,0.0
14,11DOCRTSLtr,0.0
15,13DAMPPOX,1.0
16,24_25DHVITD2t,1.0
17,24_25DHVITD2tm,1.0
18,24_25DHVITD3t,1.0
19,25VITD2Hm,1.0
20,2AMACHYD,1.0
21,2AMACSULT,1.0
22,2AMADPTm,1.0
23,2MCITt,0.0
24,2OXOADOXm,1.0
25,2OXOADPTm,0.0
26,34DHPHEt,0.0
27,34DHXMANDACOX,1.0
28,34HPLFM,1.0
29,3AIBtm,1.0
30,3HAO,1.0
31,3MOBt2im,1.0
32,3MOPt2im,1.0
33,3MOXTYROX,1.0
34,3SALAOX,1.0
35,42A12BOOX,1.0
36,4HBZCOAFm,1.0
37,4HBZFm,1.0
38,4HDEBRISOQUINEte,0.0
39,4HOXPACDOX_NADP,0.0
40,4MOPt2im,1.0
41,4MPTNLte,0.0
42,4NPHSULT,1.0
43,4PYRDX,1.0
44,5ADTSTSTERONEGLCtr,0.0
45,5ADTSTSTERONESULT,1.0
46,5ADTSTSTERONEte,0.0
47,5FTHFt2_1,0.0
48,5HOXINOXDA,1.0
49,5THFtl,1.0
50,5THFtm,1.0
51,7DHCHSTEROLtr,0.0
52,7DHFtm,1.0
53,A4GALTc,1.0
54,A4GALTg,1.0
55,A4GNT2g,1.0
56,AACTtm,1.0
57,ABO1g,1.0
58,ABO4g,1.0
59,ABO5g,1.0
60,ABO6g,1.0
61,ABO7g,1.0
62,ABO9g,1.0
63,ABTArm,0.0
64,ABTt,-1.0
65,ABUTt2rL,0.0
66,ACACT10m,0.0
67,ACACT5p,1.0
68,ACACT8p,1.0
69,ACACT9p,1.0
70,ACALDtr,0.0
71,ACALDtx,0.0
72,ACCOALm,1.0
73,ACCOAtr,0.0
74,ACETONEt2,0.0
75,ACGAGBSIDEtl,0.0
76,ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0.0
77,ACGALtlg,0.0
78,ACGAMK,1.0
79,ACGAMPM,0.0
80,ACGAMtly,1.0
81,ACGBGBSIDEtl,0.0
82,ACHtn,0.0
83,ACHVESSEC_1,1.0
84,ACN13ACNGALGBSIDEtg,0.0
85,ACNACNGAL14ACGLCGALGLUSIDEtg,0.0
86,ACNACNGALGBSIDEtg,0.0
87,ACNAMlt,0.0
88,ACNAMtn,1.0
89,ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0.0
90,ACNML,0.0
91,ACOAD10m,1.0
92,ACOAD8m,1.0
93,ACOAD9m,1.0
94,ACOAO7p,1.0
95,ACODA,1.0
96,ACONTm,0.0
97,ACP1_FMN,1.0
98,ACS2,1.0
99,ACSRTNMT,1.0
100,ACt2r,0.0
101,ADEt,0.0
102,ADK3,0.0
103,ADK3m,0.0
104,ADKd,0.0
105,ADMDC,1.0
106,ADNt4,1.0
107,ADNtl,0.0
108,ADNtm,0.0
109,ADPMAN,1.0
110,ADPRIBt,1.0
111,ADRNCOAtx,0.0
112,ADRNCRNt,0.0
113,ADSL2r,1.0
114,AG13T16g,1.0
115,AG13T18g,1.0
116,AG13T2g,1.0
117,AGMTm,1.0
118,AGTim,1.0
119,AHANDROSTANGLCte,1.0
120,AHEXASE2ly,1.0
121,AIRCr,0.0
122,AKGMALtm,0.0
123,AKGt4_3,0.0
