Processes,correlation,p_value,p_value_adj,significant,abs_corr
MT_Central_Dogma,-0.485463252454921,4.836476765644015e-33,5.803772118772818e-32,True,0.485463252454921
MT_Protein_Import,-0.4480392882054554,7.96735256476539e-28,9.560823077718469e-27,True,0.4480392882054554
OXPHOS,-0.43574518480276425,3.012297915305725e-26,3.6147574983668705e-25,True,0.43574518480276425
Complex_IV,-0.39870736193110984,7.213220974934979e-22,8.655865169921974e-21,True,0.39870736193110984
Complex_I_V,-0.3922528125326882,3.688213978171474e-21,4.425856773805769e-20,True,0.3922528125326882
MT_Ribosome,-0.379476952901318,8.398701650966418e-20,1.0078441981159701e-18,True,0.379476952901318
Complex_I,-0.36326126398382047,3.654673027991887e-18,4.385607633590264e-17,True,0.36326126398382047
Complex_V,-0.3314959922754887,3.2558974493481745e-15,3.9070769392178095e-14,True,0.3314959922754887
Complex_III,-0.27801956699546954,5.708293522366618e-11,6.849952226839941e-10,True,0.27801956699546954
MT_Biogenesis,-0.2675269753058254,3.087438975635163e-10,3.704926770762196e-09,True,0.2675269753058254
Complex_II,-0.21726887868659694,3.790415364974315e-07,4.5484984379691775e-06,True,0.21726887868659694
MT_CoQ_Synthesis,-0.15870852396637644,0.000224962341585577,0.002699548099026924,True,0.15870852396637644
