Processes,correlation,p_value,p_value_adj,significant,abs_corr
MT_Protein_Import,-0.48147047471125604,7.255761348455317e-15,8.706913618146381e-14,True,0.48147047471125604
OXPHOS,-0.420272473481374,2.4112186539456706e-11,2.8934623847348046e-10,True,0.420272473481374
Complex_IV,-0.40756823057953817,1.0687105343862644e-10,1.2824526412635172e-09,True,0.40756823057953817
MT_Central_Dogma,-0.3998958997589687,2.549120675635089e-10,3.058944810762107e-09,True,0.3998958997589687
Complex_I_V,-0.3735042899678967,4.3000398493644605e-09,5.160047819237353e-08,True,0.3735042899678967
Complex_I,-0.34390065754200416,7.672037381854948e-08,9.206444858225938e-07,True,0.34390065754200416
MT_Biogenesis,-0.323548425163434,4.712033815508353e-07,5.654440578610023e-06,True,0.323548425163434
Complex_V,-0.32118945079161954,5.766757065351694e-07,6.920108478422032e-06,True,0.32118945079161954
MT_Ribosome,-0.29167330948182174,6.264843363218387e-06,7.517812035862064e-05,True,0.29167330948182174
MT_CoQ_Synthesis,-0.2406106787009995,0.00021596012540638722,0.002591521504876647,True,0.2406106787009995
Complex_II,-0.2379738788521844,0.00025436930394023393,0.003052431647282807,True,0.2379738788521844
Complex_III,-0.197200728827782,0.002551792010297718,0.030621504123572618,True,0.197200728827782
