Processes,correlation,p_value,p_value_adj,significant,abs_corr
MT_Central_Dogma,-0.6153811847504891,4.563068944054676e-33,5.475682732865611e-32,True,0.6153811847504891
MT_Ribosome,-0.5076064746238351,2.586283467650851e-21,3.103540161181021e-20,True,0.5076064746238351
OXPHOS,-0.48604434909953254,1.981382385625879e-19,2.3776588627510547e-18,True,0.48604434909953254
Complex_I_V,-0.4435380387134475,4.3996339395811673e-16,5.279560727497401e-15,True,0.4435380387134475
Complex_IV,-0.42457650330052144,9.818124313703509e-15,1.1781749176444211e-13,True,0.42457650330052144
MT_Protein_Import,-0.4106008531430104,8.575035089603747e-14,1.0290042107524497e-12,True,0.4106008531430104
Complex_I,-0.4066822106350592,1.546593567011974e-13,1.8559122804143685e-12,True,0.4066822106350592
Complex_III,-0.4009559666360007,3.611475741007199e-13,4.333770889208639e-12,True,0.4009559666360007
Complex_V,-0.36019389043223726,9.615306668899488e-11,1.1538368002679385e-09,True,0.36019389043223726
MT_Biogenesis,-0.2118704370916973,0.00019827732475355566,0.002379327897042668,True,0.2118704370916973
Complex_II,-0.19689961373607562,0.0005548402690227609,0.006658083228273131,True,0.19689961373607562
MT_CoQ_Synthesis,-0.07826491202426368,0.17349400417385227,1.0,False,0.07826491202426368
